lotto_game,suggested_combination,sum,odd_even_pattern,historical_frequency_score,basis
3D Lotto 5PM,06-05-06,17,1 odd / 2 even,3203,"weighted by historical frequency, common odd/even pattern, and median-sum range"
3D Lotto 9PM,09-05-03,17,3 odd / 0 even,3175,"weighted by historical frequency, common odd/even pattern, and median-sum range"
3D Lotto 9PM,05-00-09,14,2 odd / 1 even,3219,"weighted by historical frequency, common odd/even pattern, and median-sum range"
3D Lotto 9PM,04-07-00,11,1 odd / 2 even,3300,"weighted by historical frequency, common odd/even pattern, and median-sum range"
3D Lotto 9PM,04-04-09,17,1 odd / 2 even,3209,"weighted by historical frequency, common odd/even pattern, and median-sum range"
3D Lotto 9PM,05-04-02,11,1 odd / 2 even,3237,"weighted by historical frequency, common odd/even pattern, and median-sum range"
4D Lotto,08-08-01-05,22,2 odd / 2 even,2385,"weighted by historical frequency, common odd/even pattern, and median-sum range"
4D Lotto,01-06-02-06,15,1 odd / 3 even,2356,"weighted by historical frequency, common odd/even pattern, and median-sum range"
4D Lotto,02-05-02-09,18,2 odd / 2 even,2351,"weighted by historical frequency, common odd/even pattern, and median-sum range"
4D Lotto,01-00-04-09,14,2 odd / 2 even,2390,"weighted by historical frequency, common odd/even pattern, and median-sum range"
4D Lotto,05-03-07-06,21,3 odd / 1 even,2350,"weighted by historical frequency, common odd/even pattern, and median-sum range"
6D Lotto,03-00-07-02-09-02,23,3 odd / 3 even,5446,"weighted by historical frequency, common odd/even pattern, and median-sum range"
6D Lotto,01-08-01-01-05-08,24,4 odd / 2 even,5303,"weighted by historical frequency, common odd/even pattern, and median-sum range"
6D Lotto,01-02-07-09-04-01,24,4 odd / 2 even,5408,"weighted by historical frequency, common odd/even pattern, and median-sum range"
6D Lotto,06-09-02-09-00-05,31,3 odd / 3 even,5363,"weighted by historical frequency, common odd/even pattern, and median-sum range"
6D Lotto,06-01-01-04-09-05,26,4 odd / 2 even,5290,"weighted by historical frequency, common odd/even pattern, and median-sum range"
EZ2 Lotto 11:30AM,12-13,25,1 odd / 1 even,0,"weighted by historical frequency, common odd/even pattern, and median-sum range"
EZ2 Lotto 11:30AM,07-24,31,1 odd / 1 even,0,"weighted by historical frequency, common odd/even pattern, and median-sum range"
EZ2 Lotto 11:30AM,26-04,30,0 odd / 2 even,2,"weighted by historical frequency, common odd/even pattern, and median-sum range"
EZ2 Lotto 11:30AM,05-26,31,1 odd / 1 even,1,"weighted by historical frequency, common odd/even pattern, and median-sum range"
EZ2 Lotto 11:30AM,10-16,26,0 odd / 2 even,0,"weighted by historical frequency, common odd/even pattern, and median-sum range"
EZ2 Lotto 12:30PM,28-27,55,1 odd / 1 even,0,"weighted by historical frequency, common odd/even pattern, and median-sum range"
EZ2 Lotto 12:30PM,08-19,27,1 odd / 1 even,0,"weighted by historical frequency, common odd/even pattern, and median-sum range"
EZ2 Lotto 12:30PM,13-17,30,2 odd / 0 even,1,"weighted by historical frequency, common odd/even pattern, and median-sum range"
EZ2 Lotto 12:30PM,04-27,31,1 odd / 1 even,0,"weighted by historical frequency, common odd/even pattern, and median-sum range"
EZ2 Lotto 12:30PM,02-30,32,0 odd / 2 even,1,"weighted by historical frequency, common odd/even pattern, and median-sum range"
EZ2 Lotto 2PM,23-24,47,1 odd / 1 even,0,"weighted by historical frequency, common odd/even pattern, and median-sum range"
EZ2 Lotto 2PM,19-26,45,1 odd / 1 even,1,"weighted by historical frequency, common odd/even pattern, and median-sum range"
EZ2 Lotto 2PM,21-24,45,1 odd / 1 even,0,"weighted by historical frequency, common odd/even pattern, and median-sum range"
EZ2 Lotto 2PM,19-24,43,1 odd / 1 even,1,"weighted by historical frequency, common odd/even pattern, and median-sum range"
EZ2 Lotto 2PM,27-16,43,1 odd / 1 even,0,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Grand Lotto 6/55,06-07-08-33-38-51,143,3 odd / 3 even,1035,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Grand Lotto 6/55,02-07-34-35-38-47,163,3 odd / 3 even,1004,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Grand Lotto 6/55,17-18-25-26-47-52,185,3 odd / 3 even,995,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Grand Lotto 6/55,05-06-36-37-50-55,189,3 odd / 3 even,1020,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Grand Lotto 6/55,03-13-36-44-47-52,195,3 odd / 3 even,1049,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Lotto 6/42,07-10-12-27-32-35,123,3 odd / 3 even,1321,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Lotto 6/42,02-04-25-26-29-41,127,3 odd / 3 even,1338,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Lotto 6/42,04-07-08-29-37-42,127,3 odd / 3 even,1324,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Lotto 6/42,08-13-25-28-29-40,143,3 odd / 3 even,1294,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Lotto 6/42,10-18-19-25-26-27,125,3 odd / 3 even,1343,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Megalotto 6/45,18-21-24-25-29-34,151,3 odd / 3 even,1230,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Megalotto 6/45,04-05-14-23-38-39,123,3 odd / 3 even,1273,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Megalotto 6/45,02-07-15-35-38-40,137,3 odd / 3 even,1276,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Megalotto 6/45,06-07-17-18-27-44,119,3 odd / 3 even,1251,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Megalotto 6/45,01-08-09-25-38-44,125,3 odd / 3 even,1265,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Suertres Lotto 11:30AM,01-04-03,8,2 odd / 1 even,1,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Suertres Lotto 11:30AM,00-07-03,10,2 odd / 1 even,2,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Suertres Lotto 11:30AM,08-00-01,9,1 odd / 2 even,2,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Suertres Lotto 11:30AM,02-04-05,11,1 odd / 2 even,2,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Suertres Lotto 11:30AM,06-07-00,13,1 odd / 2 even,3,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Suertres Lotto 12:30PM,03-06-03,12,2 odd / 1 even,1,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Suertres Lotto 12:30PM,08-05-08,21,1 odd / 2 even,2,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Suertres Lotto 12:30PM,06-08-03,17,1 odd / 2 even,2,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Suertres Lotto 12:30PM,05-06-00,11,1 odd / 2 even,2,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Suertres Lotto 12:30PM,04-09-07,20,2 odd / 1 even,2,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Suertres Lotto 2PM,02-08-07,17,1 odd / 2 even,4,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Suertres Lotto 2PM,09-06-04,19,1 odd / 2 even,2,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Suertres Lotto 2PM,09-02-08,19,1 odd / 2 even,5,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Suertres Lotto 2PM,08-08-00,16,0 odd / 3 even,4,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Suertres Lotto 2PM,02-06-08,16,0 odd / 3 even,4,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Superlotto 6/49,01-02-20-25-33-44,125,3 odd / 3 even,1106,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Superlotto 6/49,13-16-18-33-42-43,165,3 odd / 3 even,1162,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Superlotto 6/49,07-20-29-30-34-49,169,3 odd / 3 even,1157,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Superlotto 6/49,01-18-22-23-31-46,141,3 odd / 3 even,1100,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Superlotto 6/49,12-15-16-27-37-44,151,3 odd / 3 even,1116,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Ultra Lotto 6/58,06-11-34-38-45-53,187,3 odd / 3 even,946,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Ultra Lotto 6/58,02-06-25-29-55-56,173,3 odd / 3 even,967,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Ultra Lotto 6/58,16-19-25-29-46-50,185,3 odd / 3 even,960,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Ultra Lotto 6/58,02-13-33-34-35-50,167,3 odd / 3 even,958,"weighted by historical frequency, common odd/even pattern, and median-sum range"
Ultra Lotto 6/58,09-16-35-46-49-50,205,3 odd / 3 even,938,"weighted by historical frequency, common odd/even pattern, and median-sum range"
